advocacy	advocacy%1:04:00::
treason	treason%1:04:00::
indignation	indignation%1:12:00::
thyroglobulin	thyroglobulin%1:27:00::
jew	jew%1:18:00::
exhumation	exhumation%1:04:00::
sonority	sonority%1:07:00::
sleeve	sleeve%1:06:00::
mimicry	mimicry%1:04:00::
infatuation	infatuation%1:12:00::
roundup	roundup%1:04:01::
chlorothiazide	chlorothiazide%1:06:00::
ignorance	ignorance%1:09:00::
norethandrolone	norethandrolone%1:27:00::
overnighter	overnighter%1:18:00::
timer	timer%1:06:00::
notation	notation%1:10:00::
g	g%1:23:00::
consultant	consultant%1:18:00::
v	v%1:23:00::
mono-iodotyrosine	mono-iodotyrosine%1:27:00::
extremity	extremity%1:08:00::
invader	invader%1:18:00::
basin	basin%1:06:00::
holster	holster%1:06:00::
consumption	consumption%1:04:01::
entity	entity%1:03:00::
infant	infant%1:18:00::
despondency	despondency%1:12:00::
futility	futility%1:07:00::
whiff	whiff%1:19:00::
jap	jap%1:18:00::
jan	jan%1:28:00::
wording	wording%1:10:00::
dozens	dozens%1:23:00::
unrest	unrest%1:26:00::
cutlass	cutlass%1:06:00::
regimentation	regimentation%1:04:00::
catheter	catheter%1:06:00::
grapevine	grapevine%1:10:00::
switchboard	switchboard%1:06:00::
muff	muff%1:06:00::
brightness	brightness%1:07:00::
stamen	stamen%1:20:00::
injection	injection%1:04:00::
landscaping	landscaping%1:04:00::
hello	hello%1:10:00::
convoy	convoy%1:14:00::
cumulus	cumulus%1:17:00::
souvenir	souvenir%1:06:00::
folklore	folklore%1:09:00::
halogen	halogen%1:27:00::
thyronine	thyronine%1:27:00::
volleyball	volleyball%1:04:00::
matron	matron%1:18:00::
taffy	taffy%1:13:00::
advisability	advisability%1:07:00::
technician	technician%1:18:00::
primping	primping%1:04:00::
epitaph	epitaph%1:10:00::
frieze	frieze%1:06:01::
jot	jot%1:10:00::
mismanagement	mismanagement%1:04:00::
psychologist	psychologist%1:18:00::
mustache	mustache%1:08:00::
manufacturing	manufacturing%1:04:00::
sludge	sludge%1:27:01::
proviso	proviso%1:10:00::
spain	spain%1:15:00::
mule	mule%1:05:00::
fumes	fumes%1:27:00::
grandma	grandma%1:18:00::
opus	opus%1:10:00::
analyst	analyst%1:18:00::
soapsuds	soapsuds%1:17:00::
givenness	givenness%1:07:00::
